SCIACOVELLI SINDACO - CI PIACE!,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,BARI CITTÀ D'EUROPA,MOVIMENTO CINQUE STELLE,GENERAZIONE URBANA,BARI BENE COMUNE,PCI - PARTITO COMUNISTA ITALIANO,LAFORGIA SINDACO,NOI POPOLARI,PROGETTO BARI CON LECCESE,PARTITO DEMOCRATICO,LECCESE SINDACO,CON LECCESE SINDACO,DECARO PER BARI,EUROPA VERDE - VERDI,BARI X FABIO ROMITO,AGORÀ,MARIO CONCA PER BARI,NOI MODERATI - RIPRENDIAMOCI IL FUTURO,LIBERALI E RIFORMISTI - nPSI,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,FRATELLI D'ITALIA,FORZA ITALIA,ROMITO SINDACO,PENSIONATI E INVALIDI,OLTRE MANGANO SINDACO,TOT_SEZIONE,COALIZIONE ROMITO,COALIZIONE LECCESE,COALIZIONE LAFORGIA,SEZIONE
2,0,16,28,6,17,5,22,8,11,66,22,43,48,3,6,6,0,8,0,14,36,15,25,2,3,412,112,201,94,242
0,0,0,0,1,0,0,3,0,1,3,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,14,2,8,4,243
3,0,16,27,5,32,0,22,3,15,78,26,35,37,4,8,0,1,10,6,54,52,33,37,1,0,505,202,198,102,244
2,1,34,32,2,38,2,29,6,12,133,33,30,61,14,9,0,4,5,3,14,49,19,26,1,3,562,130,289,137,245
1,0,14,22,1,18,2,18,3,10,68,23,18,51,5,19,0,0,6,1,30,32,14,33,0,3,392,135,178,75,246
0,0,9,21,6,15,2,18,4,19,88,21,15,27,9,11,2,1,6,3,11,34,21,20,0,1,364,109,183,71,247
2,0,12,24,2,25,1,34,8,12,68,17,8,29,5,16,2,0,2,1,9,60,9,25,0,1,372,124,147,98,248
4,0,8,26,1,18,2,61,14,2,91,15,20,45,0,11,3,3,15,2,24,103,12,4,0,4,488,177,187,116,249
9,4,23,25,6,28,4,29,8,14,103,38,22,46,9,24,2,2,0,0,30,41,21,26,0,1,515,146,240,115,250
3,2,14,31,7,35,1,27,13,12,93,30,35,50,8,8,0,0,1,1,18,41,14,25,1,2,472,109,241,115,251
0,0,37,27,3,6,2,18,13,10,82,26,23,47,0,9,0,1,6,13,24,31,20,29,0,0,427,133,201,93,252
2,0,3,41,3,20,0,15,293,6,61,20,33,45,5,8,0,2,7,0,13,57,17,42,1,1,695,147,463,82,253
1,0,20,30,4,23,5,37,9,11,72,27,38,45,0,10,0,2,15,6,27,66,19,41,0,2,510,186,202,119,254
1,0,2,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,14,4,7,2,255
4,3,12,15,3,28,1,28,10,35,93,12,40,40,10,21,0,3,1,1,10,34,16,49,0,5,474,135,240,87,256
3,4,34,30,1,26,3,24,12,15,94,21,23,39,9,2,0,2,3,1,14,36,14,40,0,4,454,112,213,118,257
2,3,17,18,8,18,1,30,12,11,79,66,33,58,5,16,0,0,4,5,35,54,22,65,1,0,563,202,264,92,258
3,3,22,41,1,7,1,16,8,10,96,43,48,60,1,24,0,3,0,10,31,78,17,75,0,1,599,238,266,88,259
4,0,9,24,2,11,2,15,4,8,57,14,26,26,2,2,0,1,6,2,29,26,15,23,1,0,309,105,137,63,260
3,1,3,15,3,15,0,9,2,2,90,13,27,19,2,10,1,0,10,0,45,16,17,15,1,0,319,115,155,45,261
1,1,14,27,8,34,2,48,18,16,111,29,43,47,14,9,0,3,12,3,13,63,16,26,1,4,563,146,278,133,262
3,0,22,22,5,27,4,44,4,10,102,20,21,64,4,4,2,1,2,0,9,47,4,27,0,4,452,96,225,124,263
1,0,8,23,6,27,2,43,18,34,81,25,9,51,14,7,0,2,3,0,11,40,16,29,0,1,451,108,232,109,264
1,0,15,29,2,6,3,10,2,6,29,10,18,35,0,1,0,1,3,4,18,16,6,17,1,0,233,67,100,65,265
3,0,14,19,3,15,3,19,2,14,59,30,22,24,4,5,0,1,6,0,13,65,17,28,0,1,367,135,155,73,266
1,5,12,23,12,27,2,25,10,14,89,22,22,57,5,12,0,0,5,2,11,31,18,30,1,0,436,110,219,101,267
0,0,7,20,3,9,0,8,8,5,61,15,28,32,3,7,0,0,3,1,27,29,13,29,0,0,308,109,152,47,268
0,0,4,17,0,5,1,4,2,3,59,4,25,46,0,7,2,1,7,5,35,32,12,18,0,0,289,119,139,31,269
2,3,21,26,6,47,2,30,6,18,97,25,21,59,13,15,0,3,1,5,12,41,8,34,1,0,496,120,239,132,270
1,0,6,12,0,7,0,8,2,7,46,9,13,36,0,3,0,2,3,5,12,53,11,15,0,0,251,104,113,33,271
4,5,16,20,5,9,2,20,14,14,68,65,33,45,6,8,0,2,12,2,32,41,14,45,1,3,486,157,245,72,272
4,1,9,33,1,12,1,23,15,10,97,21,40,49,6,15,1,0,4,8,18,64,18,24,3,2,479,155,238,79,273
1,0,17,40,2,7,0,6,0,5,36,54,48,32,8,8,0,1,0,4,18,39,7,21,0,2,356,98,183,72,274
1,0,15,14,6,17,1,59,15,18,98,22,33,34,5,11,2,0,4,4,14,40,11,24,0,1,449,110,225,112,275
